PERSON_ID,SCHOOL_ID,FIRST_NAME,LAST_NAME,BIRTH_DATE,ADDRESS,CITY,REGION,POSTAL_CODE,COUNTRY
39,1,Justin,Sanders,2006-04-29,1105 Boston Road,Clinton,NY,13413,USA
40,1,Patrick,Butler,2006-07-17,550 Providence Hwy,Clinton,NY,13413,USA
41,1,Virginia,Gonzales,2006-11-13,3005 Cranberry Hwy Rt 6 28,Clinton,NY,13413,USA
42,2,Jack,Bryant ,1967-02-12,250 Rt 59,New Hartford,NY,13413,USA
43,2,Douglas,Martinez,1976-08-17,4133 Veterans Memorial Drive,New Hartford,NY,13413,USA
44,2,Adam,Thomas,1981-03-11,6265 Brockport Spencerport Rd,New Hartford,NY,13413,USA
45,2,Nathan,Carter,1983-04-04,3191 County rd 10,New Hartford,NY,13413,USA
46,2,Hannah,Davis,1969-12-28,85 Crooked Hill Road,New Hartford,NY,13413,USA
47,2,Jacqueline,Cook,1994-02-26,872 Route 13,New Hartford,NY,13413,USA
48,2,Austin,Lopez,2006-07-29,2465 Hempstead Turnpike,New Hartford,NY,13413,USA
49,2,Sara,Turner,2007-06-23,901 Route 110,New Hartford,NY,13413,USA
50,2,Grace,Richardson,2005-11-20,311 RT 9W,New Hartford,NY,13413,USA
51,2,Judy,Anderson,2007-05-04,100 Elm Ridge Center Dr,New Hartford,NY,13413,USA
52,2,Marilyn,Johnson,2007-09-17,103 North Caroline St,New Hartford,NY,13413,USA
53,2,Rose,Smith,2007-07-29,2 Gannett Dr,New Hartford,NY,13413,USA
54,2,Natalie,Garcia,2006-10-02,350 E Fairmount Ave,New Hartford,NY,13413,USA
55,2,Vincent,Harris,2006-04-05,4975 Transit Rd,New Hartford,NY,13413,USA
56,2,Jane,White,2006-09-22,425 Route 31,New Hartford,NY,13413,USA
57,2,James,Smith,2005-09-23,777 Brockton Avenue,New Hartford,NY,13104,USA
58,2,Patricia,Jones,2006-02-11,30 Memorial Drive,New Hartford,NY,13104,USA
59,2,Elizabeth,Taylor,2006-09-15,250 Hartford Avenue,New Hartford,NY,13104,USA
60,2,David,Anderson,2006-11-12,700 Oak Street,New Hartford,NY,13104,USA
61,2,Charles,Martinez,2006-06-11,42 Fairhaven Commons Way,New Hartford,NY,13104,USA
62,2,Sandra,Lopez,2006-02-10,295 Plymouth Street,New Hartford,NY,13104,USA
63,2,Donna,Gonzalez,2006-08-07,20 Soojian Dr,New Hartford,NY,13104,USA
64,2,Brian,Parker,2006-12-15,830 Curran Memorial Hwy,New Hartford,NY,13104,USA
65,2,Melissa,Evans,2006-02-02,1470 S Washington St,New Hartford,NY,13104,USA
66,2,Edward,Edwards,2005-12-30,506 State Road,New Hartford,NY,13104,USA
67,2,Ronald,Stewart,2006-08-27,72 Main St,New Hartford,NY,13104,USA
68,2,Kathleen,Cooper,2007-07-16,555 Hubbard Ave-Suite 12,New Hartford,NY,13104,USA
69,2,Jonathan,James,2007-05-12,36 Paramount Drive,New Hartford,NY,13104,USA
70,2,Brenda,Kelly,2006-09-22,1180 Fall River Avenue,New Hartford,NY,13104,USA
71,2,Frank,Henderson,2007-05-09,100 Charlton Road,New Hartford,NY,13104,USA
72,2,Debra,Simmons,2005-11-07,352 Palmer Road,New Hartford,NY,13104,USA
73,3,Rachel,Alexander,1976-05-05,141 Washington Ave Extension,Manlius,NY,13104,USA
74,3,Dennis,Russell,1969-02-01,13858 Rt 31 W,Manlius,NY,13104,USA
75,3,Kelly,Thomas,1984-01-15,5399 W Genesse St,Manlius,NY,13104,USA
76,3,Martha,Thomas,1978-11-27,100 Thruway Plaza,Manlius,NY,13104,USA
77,3,Roger,Long,1992-01-10,8064 Brewerton Rd,Manlius,NY,13104,USA
78,3,Megan,Gray,1995-09-24,3949 Route 31,Manlius,NY,13104,USA
79,3,Andrea,Richardson,2006-08-06,139 Merchant Place,Manlius,NY,13104,USA
80,3,Christian,Smith,2007-07-25,279 Troy Road,Manlius,NY,13104,USA
81,3,Teresa,Foster,2005-12-22,6438 Basile Rowe,Manlius,NY,13104,USA
82,3,Willie,Hayes,2007-08-04,1818 State Route 3,Manlius,NY,13104,USA
83,3,Madison,Price,2006-09-09,4300 Lakeville Road,Manlius,NY,13104,USA
84,3,Jordan,Gray,2006-04-03,990 Route 5 20,Manlius,NY,13104,USA
85,3,Dylan,Smith,2005-12-14,200 Dutch Meadows Ln,Manlius,NY,13104,USA
86,3,Juan,Rivera,2007-01-05,1000 State Route 36,Manlius,NY,13104,USA
87,3,Wayne,Davis,2006-12-10,1400 County Rd 64,Manlius,NY,13104,USA
88,3,Louis,Bell,2006-10-22,233 5th Ave Ext,Manlius,NY,13104,USA
89,3,Diana,Williams,2006-06-15,601 Frank Stottile Blvd,Manlius,NY,13104,USA
90,3,Lori,White,2007-01-11,5783 So Transit Road,Manlius,NY,13104,USA
